Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	3171.508333333333	74.2567102790357	1608.5541666666666	13.317797589650056	1562.9541666666667	75.4415187685371
1	3075.007196969697	71.41427596664403	1615.198484848485	13.461673906724325	1459.808712121212	72.67197173746543
2	2680.463257575758	55.525207338597674	1613.9647727272727	13.333679785228599	1066.498484848485	57.10372725671481
3	2351.123106060606	46.63315486621755	1609.8818181818183	12.695279593886152	741.2412878787877	48.3303347468603
4	2098.292424242424	38.75909594360365	1608.0136363636364	12.253872441280043	490.27878787878785	40.65002962080883
5	1939.5473484848485	31.082466565862372	1606.5931818181818	12.089174303093595	332.95416666666665	33.3506801002398
6	1825.6450757575758	25.780560241350404	1605.3666666666666	12.09496931903024	220.27840909090924	28.47675489212526
7	1745.1128787878788	21.853648559198163	1603.8931818181818	11.8852129491116	141.219696969697	24.87649979789508
8	1688.0984848484848	18.736595147046216	1602.885606060606	12.260114146088313	85.21287878787871	22.391301806269116
9	1656.0579545454545	15.91468890958422	1602.700378787879	11.70343771726813	53.35757575757566	19.754690012521515
