Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	3295.5594696969697	79.07413730561889	1614.794696969697	13.832311833737279	1680.7647727272727	80.27485310664615
1	2990.9329545454543	62.249525776928444	1618.5780303030303	13.633235983911565	1372.354924242424	63.7249447457234
2	2567.6863636363637	52.5818132701494	1615.0242424242424	12.372079522004627	952.6621212121213	54.017732629902795
3	2305.348484848485	46.51885978703835	1612.058712121212	12.537548145187055	693.289772727273	48.178775714820915
4	2110.855681818182	39.928515740409054	1611.8795454545455	12.384430833353454	498.97613636363644	41.80502955743734
5	1975.3363636363636	34.21350803749018	1609.3969696969698	12.05969960047211	365.93939393939377	36.276721002387085
6	1846.9272727272728	29.06554789403023	1607.1954545454546	11.90306723671984	239.7318181818182	31.408423774873494
7	1768.4420454545455	23.502668553792972	1607.2640151515152	11.912798399063929	161.17803030303025	26.34938699184839
8	1710.5848484848484	19.718405818101683	1605.5772727272727	11.805562318368937	105.00757575757575	22.98231558525465
9	1676.7575757575758	17.779870816298434	1604.8924242424243	11.923421191542612	71.86515151515141	21.40775044592935
