Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	3606.4348484848483	88.66918171260578	1610.7685606060606	13.191646670053705	1995.6662878787877	89.64509650533398
1	2947.107196969697	59.672060436090824	1610.9291666666666	12.99804405691701	1336.1780303030303	61.07130214752287
2	2525.010227272727	49.879478700191854	1608.0041666666666	12.270853526762206	917.0060606060606	51.3666841608269
3	2300.344696969697	40.96232713854454	1607.196212121212	11.837670387260697	693.1484848484849	42.6385117564224
4	2067.785984848485	36.18849056026064	1606.7625	11.958705582317238	461.02348484848494	38.11321933705704
5	1923.6515151515152	29.87994534914601	1604.5484848484848	11.571251502783937	319.10303030303044	32.04223767792492
6	1822.5943181818182	24.772407325220517	1603.5560606060606	11.687854726917982	219.0382575757576	27.391205026507652
7	1745.9155303030302	21.40038730938078	1602.4712121212121	11.518624775231647	143.44431818181806	24.30340086704094
8	1699.5571969696969	17.974912686364156	1600.9537878787878	11.555471649652112	98.60340909090905	21.368818664781845
9	1663.5621212121212	16.174542896932252	1601.325	11.173581362058696	62.23712121212111	19.658706935585744
