Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	3598.9102272727273	69.88712686513517	1610.2905303030302	13.195846500709754	1988.619696969697	71.12201393614914
1	2856.2992424242425	63.966159372598135	1610.2363636363636	12.17931849070676	1246.0628787878788	65.11532341760038
2	2537.798106060606	49.29026346217445	1609.6693181818182	11.548814624544534	928.128787878788	50.6251438655009
3	2315.809090909091	42.42249520211599	1607.914393939394	11.604574806983338	707.8946969696972	43.98106701325499
4	2132.512878787879	37.09488020154703	1607.2511363636363	11.410396916829264	525.2617424242426	38.81014422759483
5	1988.6435606060606	31.79633096883444	1604.7359848484848	11.110038141920215	383.90757575757584	33.68144311923974
6	1877.8265151515152	26.855904378312104	1604.8742424242423	11.004273420675627	272.9522727272729	29.02298457247344
7	1780.842803030303	22.997049903503562	1602.2295454545454	11.085119965154787	178.61325757575764	25.5292810103635
8	1726.1958333333334	19.641307682722495	1602.7325757575757	10.790308475749734	123.46325757575778	22.410080867529466
9	1683.291287878788	17.306954719843162	1602.166287878788	11.107088911994177	81.125	20.564486518599132
