Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	3056.3193181818183	64.91411521449383	1603.1666666666667	12.535867732150807	1453.1526515151515	66.11346560178615
1	3075.569696969697	64.36989807896275	1612.4950757575757	12.541596486034113	1463.0746212121212	65.58029750706042
2	2693.873106060606	51.9648573357817	1609.780303030303	12.159616716658936	1084.092803030303	53.368555129628504
3	2374.786742424242	47.107319993435816	1607.6886363636363	11.309624137896709	767.0981060606059	48.44592031435106
4	2143.857196969697	39.494203464490035	1607.2140151515152	11.15822976346678	536.6431818181816	41.04020222597414
5	1983.6757575757576	31.43939846659332	1603.8477272727273	11.049317584228222	379.82803030303035	33.324513425080426
6	1850.0507575757576	26.875803007628754	1602.9215909090908	10.877429532135983	247.12916666666683	28.99357274520425
7	1766.501893939394	22.684562820393683	1601.334090909091	11.098275388446448	165.16780303030305	25.253932504665162
8	1713.1670454545454	19.133178910208702	1600.7761363636364	11.040708018834776	112.39090909090896	22.090173579381798
9	1682.0121212121212	55.62114682643947	1601.490909090909	11.37797216944677	80.5212121212121	56.772970901451366
