Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	3564.7469696969697	85.57318101484297	1611.9541666666667	13.769606601941183	1952.792803030303	86.67393711474807
1	3002.9829545454545	63.597343167284336	1610.7515151515152	12.981995019025884	1392.2314393939394	64.90881490684714
2	2552.619318181818	50.44584710800498	1609.0674242424243	12.187145464693284	943.5518939393937	51.897109794494426
3	2292.8738636363637	40.32220136539053	1607.0776515151515	12.4248510972023	685.7962121212122	42.19309004729033
4	2075.978787878788	33.52366199689821	1605.1488636363636	11.956811431889715	470.82992424242434	35.59215156885077
5	1913.1935606060606	28.65954869256455	1604.873106060606	11.525079545678011	308.3204545454546	30.890082385705675
6	1796.6329545454546	24.39784929786989	1602.4541666666667	11.48695660446353	194.17878787878794	26.966742895544478
7	1722.956818181818	19.88338233063822	1601.864015151515	11.88617387274407	121.092803030303	23.165276217637466
8	1674.1291666666666	17.443490517289472	1600.7780303030304	11.271745410766796	73.35113636363621	20.768428106910502
9	1653.1920454545455	15.065936304299399	1601.2545454545455	11.63193334223666	51.9375	19.033767625024836
