Cycle	Avg bright	Stdev bright	Avg dark	Stdev dark	Avg dark-corrected intensity	Error dark-corrected
0	3797.47803030303	89.08520930733908	1614.673106060606	15.39818577628132	2182.804924242424	90.4061869704352
1	2950.3401515151513	57.474251626072025	1610.3132575757577	13.193919857509444	1340.0268939393936	58.96922181259835
2	2564.151515151515	47.907160034308035	1607.632196969697	11.738273698280697	956.5193181818181	49.32426433276577
3	2294.575	39.6462537398688	1606.7443181818182	11.81191640810642	687.8306818181816	41.36842763313774
4	2082.6560606060607	33.209218001012175	1606.9992424242423	11.182474086659278	475.6568181818184	35.04140246818836
5	1924.3068181818182	30.626436127568503	1602.3564393939394	11.163617695413848	321.9503787878789	32.597621844628335
6	1824.2810606060607	23.58624930867289	1603.132196969697	11.231666260689282	221.14886363636379	26.12396377738988
7	1749.831818181818	20.41372576783861	1602.4799242424242	10.82489652803876	147.3518939393939	23.10624557489303
8	1691.8587121212122	17.389437533609524	1600.6670454545454	11.308456425401594	91.19166666666683	20.743040386127447
9	1664.3496212121213	15.320790731695233	1599.8844696969697	10.939845216233287	64.46515151515155	18.825696321770966
